"","X","Y","NAME","DESCRIPTION","CATEGORY","SOURCE_DATE","SOURCE_INDICATION","INFORMATION","CONDITION","STATUS","RESTRICTIONS","NATIONALITY","ACCURACY","MATERIAL","WATER_LEVEL","DEPTH","UPDATED","geometry"
"1",1.694267,51.225283,"","Wreck, Non-dangerous wreck","","","GB,GB,Reprt,WODB-83459","","","","","","Position: Unknown; Depth: least depth known","","always under water/submerged",40.6,"2018/12/04",c(1.694267, 51.225283)
"2",1.690117,51.226533,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-15084","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",39,"2015/09/18",c(1.690117, 51.226533)
"3",1.7027,51.23195,"CAMISARD","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-15890","fishing vessel; Sunk: 1998/11/13; Length: 23.5m; Beam: 7.3m; Draught: 4m","","","","FR","Position: surveyed to ~5m; Depth: least depth known","","always under water/submerged",30,"2015/09/18",c(1.7027, 51.23195)
"4",1.66445,51.25,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-15085","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",39,"2015/09/18",c(1.66445, 51.25)
"5",1.706833,51.2663,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-15135","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",38,"2015/09/18",c(1.706833, 51.2663)
"6",1.704717,51.26875,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-15134","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",37,"2015/09/18",c(1.704717, 51.26875)
"7",1.542967,51.160383,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13694","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",24,"2015/09/18",c(1.542967, 51.160383)
"8",1.5476,51.1939,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13739","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",22.5,"2015/09/18",c(1.5476, 51.1939)
"9",1.548233,51.1859,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13732","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",21,"2015/09/18",c(1.548233, 51.1859)
"10",1.565483,51.1828,"LE PELERIN DE LA MER","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-14754","fishing vessel; Sunk: 1980/10/18","","","","FR","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",33,"2015/09/18",c(1.565483, 51.1828)
"11",1.57335,51.19355,"","Wreck, Non-dangerous wreck","","","GB,GB,Reprt,WODB-83458","","","","","","Position: Unknown; Depth: least depth known","","always under water/submerged",39.1,"2018/12/04",c(1.57335, 51.19355)
"12",1.5916,51.200567,"NAGRO","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-13743","502; Sunk: 1972/12/01; Tonnage: 395; Cargo: 22","","dead","","SO","Position: unreliable; Depth: depth unknown","","always under water/submerged",0,"2018/02/27",c(1.5916, 51.200567)
"13",1.592983,51.18085,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-13717","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",43,"2015/09/18",c(1.592983, 51.18085)
"14",1.610483,51.1914,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-13736","","","","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",45,"2015/09/18",c(1.610483, 51.1914)
"15",1.631583,51.200567,"DAMARA","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-13744","543; Sunk: 1973/04/03","","dead","","GB","Position: unreliable; Depth: depth unknown","","always under water/submerged",0,"2018/02/27",c(1.631583, 51.200567)
"16",1.47924,51.24154,"MAHRATTA","Wreck, Dangerous wreck","Dangerous wreck","20000811","GB,GB,Reprt,WODB-13776","steam ship; Sunk: 1909/04/19; Length: 135.9m; Beam: 14.9m; Draught: 9.1m; Tonnage: 5730; Cargo: 517","","","","BRITISH","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",1.8,"2015/09/18",c(1.47924, 51.24154)
"17",1.486317,51.2514,"KABINDA","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13789","steam ship; Sunk: 1939/12/10; Length: 125.6m; Beam: 15.8m; Tonnage: 5030; Cargo: 517,514","","","","BE","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",1.5,"2015/09/18",c(1.486317, 51.2514)
"18",1.48799,51.28473,"","Wreck, Dangerous wreck","Dangerous wreck","20001003","GB,GB,Reprt,WODB-13814","","","","","","Position: surveyed to ~25m; Depth: least depth known","","always under water/submerged",13.4,"2015/09/18",c(1.48799, 51.28473)
"19",1.489383,51.278617,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-14932","","","dead","","","Position: unreliable to ~25m; Depth: depth unknown","","always under water/submerged",0,"2018/02/27",c(1.489383, 51.278617)
"20",1.48985,51.272033,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13805","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",5.5,"2015/09/18",c(1.48985, 51.272033)
"21",1.49525,51.2586,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-15120","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",13.3,"2015/09/18",c(1.49525, 51.2586)
"22",1.49938,51.24653,"MAHRATTA II","Wreck, Dangerous wreck","Dangerous wreck","20100323","GB,GB,Reprt,WODB-13781","steam ship; Sunk: 1939/10/06; Length: 135.6m; Beam: 17.7m; Draught: 10.4m; Tonnage: 6690; Cargo: 517","","","","BRITISH","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",3.6,"2015/09/18",c(1.49938, 51.24653)
"23",1.500083,51.258083,"HMS NORTHUMBERLAND (PROBABLY)","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-14756","sailing vessel; Sunk: 1703/11/27; Length: 45.7m; Beam: 12.5m; Tonnage: 1041","","historic","","GB","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",11,"2015/09/18",c(1.500083, 51.258083)
"24",1.50035,51.260567,"HMS RESTORATION (POSSIBLY)","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-14748","sailing vessel; Sunk: 1703/11/27; Length: 46m; Beam: 12.2m; Tonnage: 1045","","historic","","GB","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",14,"2015/09/18",c(1.50035, 51.260567)
"25",1.506683,51.274433,"HMS STIRLING CASTLE (PROBABLY)","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-14745","sailing vessel; Sunk: 1703/11/27; Length: 46m; Beam: 12.2m; Tonnage: 1059","","historic","","GB","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",12.1,"2015/09/18",c(1.506683, 51.274433)
"26",1.514383,51.272783,"","Wreck, Wreck showing any portion of hull or superstructure","Wreck showing any portion of hull/superstructure","","GB,GB,Reprt,WODB-13806","","","dead","","","Position: Unknown; Depth: depth unknown","","",0,"2015/09/18",c(1.514383, 51.272783)
"27",1.523133,51.2346,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-15048","aircraft","","dead","","?AMERICAN","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",18.2,"2015/09/18",c(1.523133, 51.2346)
"28",1.538083,51.215633,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-75211","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",3.2,"2015/09/18",c(1.538083, 51.215633)
"29",1.558367,51.280067,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13812","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",11.5,"2015/09/18",c(1.558367, 51.280067)
"30",1.557283,51.2132,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-15203","","","dead","","","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",9.6,"2015/09/18",c(1.557283, 51.2132)
"31",1.5627,51.225567,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-14930","","","dead","","","Position: surveyed; Depth: least depth known","","always under water/submerged",8.4,"2015/09/18",c(1.5627, 51.225567)
"32",1.568267,51.249467,"MONTROSE","Wreck, Wreck showing any portion of hull or superstructure","Wreck showing any portion of hull/superstructure","","GB,GB,Reprt,WODB-13785","steam ship; Sunk: 1914/12/28; Length: 135.3m; Beam: 15.8m; Draught: 8.5m; Tonnage: 7207","","dead","","GB","Position: surveyed to ~13m; Depth: least depth known","","covers and uncovers",-1.1,"2015/09/18",c(1.568267, 51.249467)
"33",1.570083,51.281167,"LORD HAMILTON (POSSIBLY)","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13813","barge; Sunk: 1924/02/14; Tonnage: 64","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",17.6,"2015/09/18",c(1.570083, 51.281167)
"34",1.570733,51.2486,"RYNANNA","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13783","steam ship; Sunk: 1940/01/23; Tonnage: 1299; Cargo: 517","","","","GB","Position: surveyed to ~13m; Depth: least depth known","","always under water/submerged",3,"2015/09/18",c(1.570733, 51.2486)
"35",1.572483,51.273533,"","Wreck, Dangerous wreck","Dangerous wreck","","GB,GB,Reprt,WODB-13807","","","","","","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",12.4,"2015/09/18",c(1.572483, 51.273533)
"36",1.572967,51.265167,"","Wreck, Non-dangerous wreck","Non-dangerous wreck","","GB,GB,Reprt,WODB-59675","tug","","","","GB","Position: surveyed to ~3m; Depth: least depth known","","always under water/submerged",17.7,"2015/09/18",c(1.572967, 51.265167)
